"Country_Name","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020"
"Albania","541.804","571.229","604.961","650.553","672.375","697.299","715.048","726.658","736.778","750.435","770.697","796.901","828.777","864","900.72","939"
"Albania","5.773","5.431","5.905","7.536","3.354","3.707","2.545","1.624","1.393","1.854","2.7","3.4","4","4.25","4.25","4.25"
"Albania","814.797","882.209","967.67","1,080.68","1,143.94","1,239.65","1,300.62","1,335.49","1,364.78","1,400.38","1,459.06","1,548.70","1,662.24","1,788.10","1,924.24","2,069.05"
"Albania","8.158","9.001","10.698","12.901","12.093","11.927","12.891","12.345","12.916","13.276","11.591","12.204","13.214","14.341","15.553","16.996"
"Albania","150.386","154.44","159.956","166.116","170.134","177.778","181.893","183.785","185.237","186.609","189.317","194.341","200.565","206.956","213.633","220.346"
"Albania","180,347.93","191,608.39","204,736.96","222,264.36","231,998.79","242,925.83","251,518.57","258,069.21","264,304.06","270,556.11","279,257.42","290,203.18","303,327.95","317,808.43","332,980.19","348,876.23"
"Albania","271,217.92","295,920.79","327,488.33","369,217.54","394,708.22","431,868.77","457,495.08","474,292.39","489,587.71","504,882.18","528,681.78","563,983.56","608,369.69","657,724.39","711,355.68","768,736.42"
"Albania","2,715.64","3,019.34","3,620.60","4,407.52","4,172.74","4,155.12","4,534.37","4,384.10","4,633.23","4,786.56","4,200.03","4,444.29","4,836.27","5,275.08","5,749.58","6,314.67"
"Albania","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Albania","19.306","20.98","22.81","25.01","26.045","27.341","28.616","29.616","30.518","31.594","32.766","34.282","36.275","38.594","41.108","43.779"
"Albania","6,426.27","7,037.30","7,719.57","8,544.83","8,986.80","9,525.04","10,065.54","10,517.94","10,947.65","11,390.71","11,872.41","12,484.42","13,276.47","14,196.04","15,196.95","16,265.73"
"Albania","0.029","0.029","0.029","0.03","0.031","0.031","0.03","0.03","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029"
"Albania","42.205","42.05","42.423","43.209","43.921","45.34","45.452","45.094","44.721","44.324","44.53","45.175","45.823","46.332","46.809","47.261"
